                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75181,                   1.28,                 1.1983,                0.62992,                 0.7628,                0.68107,                0.48104,                 1.0171,                  1.326,                 1.4829,             0.00055349,             0.00055349,             0.00055349
                      2,                 0.7295,                0.79124,                 1.1643,                0.69987,                0.86607,                0.78813,                 0.5657,                0.95709,                  1.128,                 1.4257,              0.0010872,              0.0010872,              0.0010872
                      3,                0.72276,                0.69155,                 1.1625,                0.64538,                0.71118,                0.70395,                0.50066,                 0.9899,                 1.0835,                 1.4927,              0.0015989,              0.0015989,              0.0015989
                      4,                0.68839,                 0.6284,                 1.1402,                0.74836,                0.84389,                0.85473,                 0.6411,                0.84828,                0.73148,                 1.3224,               0.001568,               0.001568,               0.001568
                      5,                0.65993,                0.58585,                 1.1225,                0.79562,                0.75311,                0.83379,                0.61904,                0.91276,                0.94739,                 1.3742,               0.001535,               0.001535,               0.001535
                      6,                0.62284,                 0.5389,                 1.0996,                0.60727,                0.72991,                0.73104,                0.54513,                0.82699,                0.82302,                 1.3145,               0.001502,               0.001502,               0.001502
                      7,                0.61024,                0.50573,                 1.0871,                0.70523,                0.79066,                0.82332,                0.61022,                0.94366,                0.81246,                 1.4323,               0.001469,               0.001469,               0.001469
                      8,                0.58316,                0.48596,                 1.0736,                0.79219,                0.86457,                  0.865,                0.67445,                0.82892,                0.68129,                 1.3188,               0.001436,               0.001436,               0.001436
                      9,                0.57323,                0.46984,                 1.0675,                0.67676,                0.78199,                0.79962,                 0.6153,                0.76692,                0.79169,                 1.2387,              0.0014029,              0.0014029,              0.0014029
                     10,                0.55865,                0.45579,                 1.0572,                0.85049,                0.88913,                 0.9344,                0.74149,                0.76012,                0.56318,                 1.2176,              0.0013699,              0.0013699,              0.0013699
                     11,                0.55534,                0.43875,                 1.0543,                0.79365,                0.82547,                0.86586,                0.67407,                  0.828,                0.68875,                 1.3042,              0.0013369,              0.0013369,              0.0013369
                     12,                0.54418,                0.43222,                 1.0427,                0.76197,                0.89372,                0.88703,                0.70438,                0.72655,                0.59175,                 1.2017,              0.0013039,              0.0013039,              0.0013039
                     13,                 0.5274,                0.41821,                   1.04,                  0.846,                0.81906,                0.90035,                0.72433,                0.73506,                0.59405,                   1.23,              0.0012709,              0.0012709,              0.0012709
                     14,                0.51922,                0.41239,                 1.0352,                0.82342,                0.85379,                0.88233,                0.70651,                0.77409,                0.57811,                 1.2795,              0.0012379,              0.0012379,              0.0012379
                     15,                0.50979,                0.41124,                 1.0289,                0.80877,                0.90523,                0.91606,                0.74843,                0.72825,                0.52494,                 1.2452,              0.0012049,              0.0012049,              0.0012049
                     16,                0.49921,                 0.3931,                 1.0208,                0.79498,                0.77512,                0.84042,                 0.6748,                0.74272,                0.58194,                  1.226,              0.0011719,              0.0011719,              0.0011719
                     17,                0.50015,                0.38641,                 1.0232,                0.71569,                0.76398,                0.79101,                 0.6409,                0.77847,                0.71049,                 1.2877,              0.0011389,              0.0011389,              0.0011389
                     18,                0.47734,                0.37554,                 1.0106,                0.81601,                0.87153,                0.90217,                0.74094,                0.71975,                0.53461,                 1.1997,              0.0011059,              0.0011059,              0.0011059
                     19,                0.47489,                0.36673,                 1.0099,                0.87056,                 0.8059,                0.89843,                0.72514,                0.74776,                0.55927,                 1.2487,              0.0010729,              0.0010729,              0.0010729
                     20,                0.47276,                0.37026,                 1.0067,                0.77425,                0.84431,                0.86391,                 0.6879,                0.78859,                0.60138,                 1.2448,              0.0010399,              0.0010399,              0.0010399
                     21,                0.46677,                0.35904,                  1.004,                0.85001,                0.81211,                0.91522,                0.73694,                0.76657,                0.54262,                 1.2685,              0.0010069,              0.0010069,              0.0010069
                     22,                0.46128,                0.35605,                 1.0006,                0.67375,                0.84109,                0.81017,                0.67064,                0.68575,                0.61761,                  1.188,             0.00097386,             0.00097386,             0.00097386
                     23,                0.45259,                0.34611,                 1.0013,                0.85715,                0.86607,                0.91354,                0.75906,                0.68411,                0.49782,                 1.1867,             0.00094085,             0.00094085,             0.00094085
                     24,                0.44403,                0.34016,                0.98948,                0.85496,                0.80974,                0.89571,                0.72161,                0.75908,                0.55786,                 1.2528,             0.00090785,             0.00090785,             0.00090785
                     25,                0.43432,                0.32747,                0.98522,                0.75633,                0.79425,                0.80303,                 0.6566,                0.70635,                0.60235,                 1.2244,             0.00087484,             0.00087484,             0.00087484
                     26,                0.43267,                0.33917,                0.98491,                0.77982,                0.86861,                0.87789,                0.71175,                0.75048,                0.54348,                 1.2773,             0.00084184,             0.00084184,             0.00084184
                     27,                0.42412,                0.32289,                0.98212,                0.86016,                0.84348,                0.90831,                0.76336,                0.66886,                0.51737,                 1.1618,             0.00080883,             0.00080883,             0.00080883
                     28,                0.41786,                0.32258,                0.98013,                0.82159,                 0.7853,                0.86542,                0.72945,                0.67212,                0.53066,                 1.1509,             0.00077582,             0.00077582,             0.00077582
                     29,                0.41506,                0.31427,                0.97352,                0.80637,                0.73565,                  0.817,                0.63738,                0.92965,                0.71348,                 1.4959,             0.00074282,             0.00074282,             0.00074282
                     30,                0.40802,                0.31063,                0.97251,                 0.8212,                0.79074,                0.87789,                0.73193,                0.66049,                0.55396,                 1.1344,             0.00070981,             0.00070981,             0.00070981
                     31,                0.40671,                 0.3079,                0.97309,                0.79827,                0.88168,                0.88512,                0.73554,                0.66671,                 0.5197,                 1.1517,              0.0006768,              0.0006768,              0.0006768
                     32,                 0.3952,                0.30427,                0.96715,                 0.8374,                0.83441,                0.88519,                0.73451,                0.67429,                0.50858,                 1.1929,              0.0006438,              0.0006438,              0.0006438
                     33,                0.39792,                0.30725,                0.96751,                0.83286,                0.85481,                0.90958,                0.75621,                0.69587,                0.48941,                 1.2152,             0.00061079,             0.00061079,             0.00061079
                     34,                0.39012,                0.29346,                0.96646,                 0.8622,                0.87461,                0.91369,                0.77301,                0.66978,                0.49212,                 1.1925,             0.00057778,             0.00057778,             0.00057778
                     35,                0.38333,                0.29425,                 0.9646,                  0.778,                0.89984,                0.91732,                0.77395,                 0.6646,                0.48486,                 1.1566,             0.00054478,             0.00054478,             0.00054478
                     36,                0.37714,                0.28552,                0.96119,                0.79757,                0.87836,                 0.8842,                 0.7556,                0.65216,                0.54134,                 1.1602,             0.00051177,             0.00051177,             0.00051177
                     37,                0.37118,                0.28397,                0.95697,                0.80605,                 0.8521,                0.89458,                0.74181,                0.67581,                0.51258,                 1.1739,             0.00047876,             0.00047876,             0.00047876
                     38,                0.37127,                0.28059,                0.95428,                0.78533,                0.88432,                  0.885,                0.75442,                0.64488,                0.53595,                 1.1253,             0.00044576,             0.00044576,             0.00044576
                     39,                0.36639,                 0.2762,                0.95328,                0.86291,                0.84219,                0.91975,                0.77571,                0.68544,                0.45911,                 1.2027,             0.00041275,             0.00041275,             0.00041275
                     40,                 0.3611,                0.27209,                 0.9518,                0.87193,                0.81976,                0.89734,                0.76465,                0.67193,                 0.4896,                 1.1908,             0.00037974,             0.00037974,             0.00037974
                     41,                0.29995,                 0.2222,                0.93494,                0.74062,                0.89135,                0.84951,                  0.728,                0.62273,                0.56145,                 1.0978,             0.00034674,             0.00034674,             0.00034674
                     42,                0.28404,                0.20857,                0.91765,                0.86016,                0.83152,                0.89049,                0.75702,                0.63038,                0.52203,                 1.1142,             0.00031373,             0.00031373,             0.00031373
                     43,                0.27442,                 0.2034,                0.91753,                0.85542,                  0.845,                 0.8841,                0.75034,                0.66298,                0.51611,                 1.1581,             0.00028072,             0.00028072,             0.00028072
                     44,                0.27008,                0.19232,                0.90939,                0.87851,                0.83579,                0.89964,                0.77352,                0.63161,                 0.4696,                  1.119,             0.00024772,             0.00024772,             0.00024772
                     45,                0.26135,                0.19078,                0.90785,                0.80765,                0.85753,                 0.8794,                0.75534,                0.64276,                0.54391,                 1.1309,             0.00021471,             0.00021471,             0.00021471
                     46,                0.25867,                0.18208,                0.90378,                0.88908,                0.83307,                0.88587,                0.74721,                0.65949,                0.49612,                 1.1706,              0.0001817,              0.0001817,              0.0001817
                     47,                0.25175,                0.17792,                 0.8994,                0.87173,                0.81697,                0.87328,                0.75028,                0.65404,                0.51761,                 1.1398,              0.0001487,              0.0001487,              0.0001487
                     48,                0.24902,                0.17714,                0.89848,                0.89501,                0.85839,                0.90024,                0.77473,                0.65231,                0.48703,                 1.1413,             0.00011569,             0.00011569,             0.00011569
                     49,                0.23924,                0.17049,                0.89511,                 0.8992,                0.85093,                0.91164,                0.78609,                0.64234,                 0.4807,                 1.1306,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.23522,                0.16816,                0.89296,                0.89281,                0.86258,                0.91286,                0.78699,                0.63217,                0.47993,                 1.1246,             4.9677e-05,             4.9677e-05,             4.9677e-05
